"","road","par17nm","ave"
"1","Aber Street","Grangetown",0.0944153846153846
"2","Aberbran Road","Llandaff North",0.076011914893617
"3","Abercynon street","Grangetown",0.112722
"4","Aberdaron Road","Trowbridge",0.0524469090909091
"5","Aberdore Road","Llandaff North",0.0874585714285714
"6","Aberdovey Street","Splott",0.0142055555555556
"7","Aberdulais Crescent","Llandaff North",0.133768095238095
"8","Aberdulais Road","Llandaff North",0.2306046
"9","Abergele Close","Trowbridge",0.235066666666667
"10","Abergele Road","Trowbridge",0.0877275438596491
"11","Abernethy Close","Trowbridge",0.190446363636364
"12","Aberporth Road","Llandaff North",0.25507619047619
"13","Aberteifi Close","Llandaff North",0.130966
"14","Aberteifi Crescent","Llandaff North",0.458538181818182
"15","Aberthaw Road","Ely",0.035983125
"16","Aberystwith Street","Splott",0.00529291666666667
"17","Academic Avenue","Heath",0.199143333333333
"18","Acorn Grove","Pontprennau",0.115016086956522
"19","Adam Street","Adamsdown",0.0311549579831933
"20","Adam Street","Castle",0.06835
"21","Adamscroft Place","Adamsdown",0.126495
"22","Adamsdown Lane","Adamsdown",0.0437736363636364
"23","Adamsdown Place","Splott",0.141228571428571
"24","Adamsdown Square","Adamsdown",0.255704285714286
"25","Addicott Close","Caerau",0.0305325714285714
"26","Addison Crescent","Ely",0.128508214285714
"27","Adelaide Place","Butetown",0.134965
"28","Adelaide Street","Butetown",0.182371111111111
"29","Adeline Street","Splott",0.0110972580645161
"30","Ael-y-Bryn","Llanedeyrn",0.182714602272727
"31","Ael y Bryn","Radyr and Morganstown",0.272866470588235
"32","Africa Gardens","Gabalfa",0.3888686
"33","Agate Street","Adamsdown",0.03402375
"34","Agincourt Road","Penylan",0.115994
"35","Aintree Drive","Caerau",0.0330104761904762
"36","Albany Road","Roath",0.10265
"37","Albert Street","Riverside",0.0999578947368421
"38","Alder Road","Roath",0.492953333333333
"39","Alderbrook","Cyncoed",0.595808461538462
"40","Alderwood Close","Trowbridge",0.10489125
"41","Aldsworth Road","Canton",0.0051737037037037
"42","Aldwych Close","Thornhill",0.06728625
"43","Alexander Street","Cathays",0.01883125
"44","Alexandra Road","Canton",0.0130125
"45","Alfred Street","Roath",0.0103631707317073
"46","Alfreda Road","Whitchurch",0.345149166666667
"47","Alice Street","Butetown",0.0204744444444444
"48","Allan Durst Close","Llandaff",0.14823875
"49","Allen Close","Old St. Mellons",0.182952380952381
"50","Allensbank Crescent","Gabalfa",0.150808947368421
"51","Allensbank Road","Gabalfa",0.273232307692308
"52","Allensbank Road","Heath",0.248330597014925
"53","Allerton Street","Grangetown",0.0369038888888889
"54","Allt Wen","Rhiwbina",0.380896666666667
"55","Allt Y Wennol","Pontprennau",0.0891571428571429
"56","Alltmawr Road","Cyncoed",0.294977777777778
"57","Alma Road","Penylan",0.03988
"58","Almond Drive","Pontprennau",0.18451196969697
"59","Alwen Drive","Thornhill",0.169412631578947
"60","Amber Close","Pontprennau",0.121232
"61","Ambergate Drive","Pontprennau",0.092265
"62","Amberheart Drive","Thornhill",0.16328125
"63","Amberley Close","Pontprennau",0.0707680952380952
"64","Amberwood Close","Pontprennau",0.0897066666666667
"65","Amblecote Close","Pontprennau",0.0916890909090909
"66","Ambleside Avenue","Cyncoed",0.275481666666667
"67","Ambrooke Close","Pontprennau",0.1719625
"68","Amesbury Road","Penylan",0.194768913043478
"69","Amethyst road","Fairwater",0.25258
"70","Amethyst Road","Fairwater",0.255804360465116
"71","Amherst Street","Grangetown",0.0141969565217391
"72","Amroth Road","Caerau",0.0521752830188679
"73","Amyas Close","Grangetown",0.13114
"74","Anderson Place","Adamsdown",0.1196112
"75","Andrews Road","Llandaff North",0.0884090909090909
"76","Angelica Way","Thornhill",0.194091470588235
"77","Angelina Street","Butetown",0.0714114285714286
