id,road,region,value,city
1,Aber Street,Grangetown,0.094415385,Cardiff
2,Aberbran Road,Llandaff North,0.076011915,Cardiff
3,Abercynon street,Grangetown,0.112722,Cardiff
4,Aberdaron Road,Trowbridge,0.052446909,Cardiff
5,Aberdore Road,Llandaff North,0.087458571,Cardiff
6,Aberdovey Street,Splott,0.014205556,Cardiff
7,Aberdulais Crescent,Llandaff North,0.133768095,Cardiff
8,Aberdulais Road,Llandaff North,0.2306046,Cardiff
9,Abergele Close,Trowbridge,0.235066667,Cardiff
10,Abergele Road,Trowbridge,0.087727544,Cardiff
11,Abernethy Close,Trowbridge,0.190446364,Cardiff
12,Aberporth Road,Llandaff North,0.25507619,Cardiff
13,Aberteifi Close,Llandaff North,0.130966,Cardiff
14,Aberteifi Crescent,Llandaff North,0.458538182,Cardiff
15,Aberthaw Road,Ely,0.035983125,Cardiff
16,Aberystwith Street,Splott,0.005292917,Cardiff
17,Academic Avenue,Heath,0.199143333,Cardiff
18,Acorn Grove,Pontprennau,0.115016087,Cardiff
19,Adam Street,Adamsdown,0.031154958,Cardiff
20,Adam Street,Castle,0.06835,Cardiff
21,Adamscroft Place,Adamsdown,0.126495,Cardiff
22,Adamsdown Lane,Adamsdown,0.043773636,Cardiff
23,Adamsdown Place,Splott,0.141228571,Cardiff
24,Adamsdown Square,Adamsdown,0.255704286,Cardiff
25,Addicott Close,Caerau,0.030532571,Cardiff
26,Addison Crescent,Ely,0.128508214,Cardiff
27,Adelaide Place,Butetown,0.134965,Cardiff
28,Adelaide Street,Butetown,0.182371111,Cardiff
29,Adeline Street,Splott,0.011097258,Cardiff
30,Ael-y-Bryn,Llanedeyrn,0.182714602,Cardiff
31,Ael y Bryn,Radyr and Morganstown,0.272866471,Cardiff
32,Africa Gardens,Gabalfa,0.3888686,Cardiff
33,Agate Street,Adamsdown,0.03402375,Cardiff
34,Agincourt Road,Penylan,0.115994,Cardiff
35,Aintree Drive,Caerau,0.033010476,Cardiff
36,Albany Road,Roath,0.10265,Cardiff
37,Albert Street,Riverside,0.099957895,Cardiff
38,Alder Road,Roath,0.492953333,Cardiff
39,Alderbrook,Cyncoed,0.595808462,Cardiff
40,Alderwood Close,Trowbridge,0.10489125,Cardiff
41,Aldsworth Road,Canton,0.005173704,Cardiff
42,Aldwych Close,Thornhill,0.06728625,Cardiff
43,Alexander Street,Cathays,0.01883125,Cardiff
44,Alexandra Road,Canton,0.0130125,Cardiff
45,Alfred Street,Roath,0.010363171,Cardiff
46,Alfreda Road,Whitchurch,0.345149167,Cardiff
47,Alice Street,Butetown,0.020474444,Cardiff
48,Allan Durst Close,Llandaff,0.14823875,Cardiff
49,Allen Close,Old St. Mellons,0.182952381,Cardiff
