id,road,region,value
49,Allen Close,Old St. Mellons,0.182952381
147,Balmoral Close,Lisvane,0.280963
18,Acorn Grove,Pontprennau,0.115016087
37,Albert Street,Riverside,0.099957895
19,Adam Street,Adamsdown,0.031154958
6,Aberdovey Street,Splott,0.014205556
16,Aberystwith Street,Splott,0.005292917
21,Adamscroft Place,Adamsdown,0.126495
22,Adamsdown Lane,Adamsdown,0.043773636
23,Adamsdown Place,Splott,0.141228571
24,Adamsdown Square,Adamsdown,0.255704286
29,Adeline Street,Splott,0.011097258
33,Agate Street,Adamsdown,0.03402375
55,Allt Y Wennol,Pontprennau,0.089157143
58,Almond Drive,Pontprennau,0.18451197
60,Amber Close,Pontprennau,0.121232
61,Ambergate Drive,Pontprennau,0.092265
63,Amberley Close,Pontprennau,0.070768095
64,Amberwood Close,Pontprennau,0.089706667
65,Amblecote Close,Pontprennau,0.091689091
67,Ambrooke Close,Pontprennau,0.1719625
74,Anderson Place,Adamsdown,0.1196112
83,Applewood Close,Splott,0.024455294
98,Arrol Street,Splott,0.077146
99,Arthur Street,Adamsdown,0.052565714
103,Asgog Street,Splott,0.004095455
119,Atlas Road,Riverside,0.047563333
122,Augusta Street,Adamsdown,0.0029075
148,Baltimore Close,Pontprennau,0.1884175
159,Barnfield Close,Pontprennau,0.179639
172,Bayside Road,Splott,0.132252941
177,Beauchamp Street,Riverside,0.0757636
180,Beck Court,Pontprennau,0.158009091
193,Began Road,Old St. Mellons,0.732869661
194,Beignon Close,Splott,0.155327273
197,Beresford Road,Adamsdown,0.026755385
198,Beresford Road Lane,Adamsdown,0.028938095
204,Bertram Street,Adamsdown,0.027011154
208,Bethania Row,Old St. Mellons,0.504169091
236,Blackberry Way,Pontprennau,0.068352353
237,Blackbirds Way,Old St. Mellons,0.207839143
239,Blackstone Street,Riverside,0.07931
249,Blanche Street,Adamsdown,0.026442727
255,Blossom Drive,Lisvane,0.199322558
258,Bluebell Drive,Old St. Mellons,0.235443
262,Booker Street,Adamsdown,0.00824
264,Borage Close,Pontprennau,0.193884762
276,Bradley Street,Adamsdown,0.0298705
281,Bramshill Drive,Pontprennau,0.224197273
297,Bridge Road,Old St. Mellons,0.627059787
314,Broadway,Adamsdown,0.012961743
329,Brook Street,Riverside,0.022580625
342,Brunel Street,Riverside,0.051461429
376,Buckingham Close,Lisvane,0.1631875
382,Burnaby Street,Splott,0.005952703
388,Burwell Close,Pontprennau,0.231765882
397,Butterfield Drive,Pontprennau,0.278445926
443,Cameron Street,Splott,0.0070745
452,Canopus Close,Old St. Mellons,0.322234286
453,Canton Court,Riverside,0.006385
455,Capel Edeyrn,Pontprennau,0.214635926
456,Capelgwilym Road,Lisvane,0.3536425
465,Cardinal Drive,Lisvane,0.194067692
469,Carlisle Street,Splott,0.002580808
489,Cathedral Road,Riverside,0.201740833
494,Cecil Street,Adamsdown,0.024221667
504,Cefn Mably Road,Lisvane,0.348736429
517,Central Link,Adamsdown,0.359720286
521,Chamomile Close,Pontprennau,0.127918824
522,Chancery Lane,Riverside,0.033010435
525,Chapel Row,Old St. Mellons,0.301355556
533,Charnwood Drive,Pontprennau,0.218360455
537,Chartwell Drive,Lisvane,0.179536481
545,Cherry Orchard Road,Lisvane,0.340149304
547,Cherry Tree Close,Lisvane,0.300708182
563,Church Close,Lisvane,0.223345833
567,Church Road,Lisvane,0.511974444
569,Church Road,Pontprennau,0.486352857
573,Churchill Close,Lisvane,0.29839
584,Clare Gardens,Riverside,0.153513
585,Clare Place,Riverside,0.029793636
587,Clare Road,Riverside,0.035
588,Clare Street,Riverside,0.131165517
610,Claverton Way,Pontprennau,0.061415366
616,Clifton Street,Adamsdown,0.007814906
625,Clonakilty Way,Pontprennau,0.144000667
629,Clos Alyn,Pontprennau,0.291587273
638,Clos Coed y Dafarn,Lisvane,0.236879688
643,Clos Cwm Creunant,Pontprennau,0.199983077
644,Clos Cwm Du,Pontprennau,0.307242162
647,Clos Dewi Sant,Riverside,0.106751786
648,Clos Dol Heulog,Pontprennau,0.104765882
659,Clos Gwy,Pontprennau,0.236315714
665,Clos Hendre Gadno,Old St. Mellons,0.2692875
667,Clos Llysfaen,Lisvane,0.261665323
677,Clos Melin Ddŵr,Lisvane,0.5058825
678,Clos Nant Coslech,Pontprennau,0.279863077
679,Clos Nant Ddu,Pontprennau,0.166602
680,Clos Nant Glaswg,Pontprennau,0.189228974
681,Clos Nant Mwlan,Pontprennau,0.162934783
682,Clos Nant Y Cor,Pontprennau,0.1898668
683,Clos Nant Y Cwm,Pontprennau,0.202604706
684,Clos Nanteos,Pontprennau,0.1176425
717,Clos Y Ffynnon,Pontprennau,0.109591786
742,Clyde Street,Adamsdown,0.059697778
768,Coldstream Terrace,Riverside,0.035349333
775,Collivaud Place,Splott,0.285157222
783,Comet Street,Adamsdown,0.037501481
791,Constellation Street,Adamsdown,0.114195319
796,Copper Street,Adamsdown,0.0052025
798,Copse Walk,Pontprennau,0.224395455
801,Cork Drive,Pontprennau,0.222010323
806,Cornflower Close,Lisvane,0.157638571
823,Cotswold Avenue,Lisvane,0.103363636
825,Cottingham Drive,Pontprennau,0.052645217
832,Courtenay Close,Old St. Mellons,0.462356
833,Courtenay Road,Splott,0.187615517
835,Coveny Street,Splott,0.028646964
839,Cowbridge Road East,Riverside,0.064341656
843,Cowslip Close,Pontprennau,0.124036471
844,Craddock Street,Riverside,0.014796301
851,Cranbourne Way,Pontprennau,0.125430926
855,Crawford Drive,Pontprennau,0.148075455
859,Cressfield Drive,Pontprennau,0.192677143
865,Croescadarn Close,Pontprennau,0.17039623
867,Croescadarn Road,Pontprennau,0.42471697
868,Crofta,Lisvane,0.30417
889,Cumnock Place,Splott,0.043186667
890,Cumnock Terrace,Splott,0.002835
891,Cumrae Street,Splott,0.030505
905,Cwrt Cefn,Lisvane,0.504196207
928,Cyril Crescent,Adamsdown,0.097568
934,Damson Place,Pontprennau,0.4624725
948,Dartington Drive,Pontprennau,0.209291887
953,Davis Street,Adamsdown,0.114750313
956,De Burgh Place,Riverside,0.027803333
957,De Burgh Street,Riverside,0.005592973
959,De Croche Place,Riverside,0.008078
972,Delta Street,Riverside,0.031708333
979,Dering Road,Pontprennau,0.364361667
982,Despenser Gardens,Riverside,0.230988
983,Despenser Place,Riverside,0.049694667
984,Despenser Street,Riverside,0.112971714
989,Diamond Street,Adamsdown,0.025304146
1008,Dowlais Road,Splott,0.123273571
1013,Drawlings Close,Old St. Mellons,0.18985
1017,Druidstone Road,Old St. Mellons,0.532725426
1032,Dunbar Close,Pontprennau,0.174906667
1033,Duncan Close,Old St. Mellons,0.193597059
1034,Dungarvan Drive,Pontprennau,0.191690526
1057,East Moors Road,Splott,0.101965556
1060,East Tyndall Street,Splott,0.117920926
1061,Eastern Business Park,Old St. Mellons,0.067050476
1062,Eastern Close,Old St. Mellons,0.181538
1064,Eclipse Street,Adamsdown,0.03217037
1093,Emerald Street,Adamsdown,0.010567407
1095,Enbourne Drive,Pontprennau,0.041552222
1107,Eurwg Crescent,Old St. Mellons,0.145908889
1109,Evenwood Close,Pontprennau,0.1474225
1119,Eyre Street,Splott,0.018798929
1146,Falfield Close,Lisvane,0.279878182
1151,Farmville Road,Splott,0.0510815
1153,Felbrigg Crescent,Pontprennau,0.237444545
1156,Felsted Close,Pontprennau,0.241914545
1170,Ffordd Brynhyfryd,Old St. Mellons,0.080192917
1181,Ffordd Ottoway,Splott,0.039018
